Taxable Year,County,Population,All Returns,AGI,Median Income,Median Rank,Joint Returns,Joint Returns Median Income,Joint Returns Median Rank,Tax Assessed,Latitude,Longitude,New Georeferenced Column
2019,San Diego,"3,352,145","1,552,280","132,486,678,000","44,267",19,"562,037","92,773",17,"6,834,996,000",32.78964014,-117.1936577,POINT (-117.1936577 32.78964014)
2019,Monterey,"441,290","185,720","13,733,116,000","40,922",27,"64,233","77,994",27,"609,330,000",36.32470669,-121.2968358,POINT (-121.2968358 36.32470669)
2017,Marin,"262,092","124,677","23,461,816,000","68,646",1,"50,821","160,504",1,"1,841,344,000",38.03952573,-122.7299513,POINT (-122.7299513 38.03952573)
2017,Sacramento,"1,520,685","656,738","41,340,973,000","40,803",22,"234,631","80,169",20,"1,634,856,000",38.1923781,-121.6020643,POINT (-121.6020643 38.1923781)
2019,Santa Barbara,"451,329","199,129","16,849,062,000","41,532",24,"70,293","82,970",22,"934,305,000",34.42119106,-119.6988197,POINT (-119.6988197 34.42119106)
2018,San Benito,"61,437","27,780","2,114,072,012","45,945",13,"11,245","90,332",18,"91,827,934",36.50024907,-121.0915105,POINT (-121.0915105 36.50024907)
2017,Butte,"226,661","89,869","5,049,005,000","33,833",40,"34,142","67,425",33,"186,405,000",39.59127291,-121.6728818,POINT (-121.6728818 39.59127291)
2019,Tehama,"65,266","22,141","1,081,988,000","32,912",52,"8,424","59,328",52,"34,017,000",40.25506437,-122.2937715,POINT (-122.2937715 40.25506437)
2018,Solano,"439,975","199,570","14,207,125,522","47,732",11,"73,337","93,629",15,"538,840,904",38.17681839,-122.0352986,POINT (-122.0352986 38.17681839)
2018,Lassen,"30,527","9,804","544,777,716","44,851",14,"4,305","75,961",26,"16,925,626",40.43255922,-120.6495591,POINT (-120.6495591 40.43255922)
2019,Kern,"912,975","343,155","18,806,362,000","33,025",50,"122,931","67,047",42,"627,129,000",35.37676773,-118.8073572,POINT (-118.8073572 35.37676773)
2019,Ventura,"841,439","401,695","34,558,321,000","44,986",17,"151,300","96,484",15,"1,797,688,000",34.27709072,-119.2178496,POINT (-119.2178496 34.27709072)
2017,Sutter,"98,342","38,525","2,068,295,000","34,402",39,"16,724","58,206",46,"68,411,000",39.01131111,-121.7233341,POINT (-121.7233341 39.01131111)
2017,Modoc,"9,488","2,873","125,590,000","31,446",51,"1,307","51,478",56,"3,482,000",41.71368177,-120.943072,POINT (-120.943072 41.71368177)
2019,Mariposa,"17,778","6,864","377,114,000","37,251",33,"2,775","65,009",44,"12,228,000",37.72289349,-119.9767358,POINT (-119.9767358 37.72289349)
2017,Placer,"382,977","176,722","16,289,538,000","54,890",6,"82,945","104,843",7,"824,612,000",39.0316205,-120.8830665,POINT (-120.8830665 39.0316205)
2018,Nonresident,,"808,025","47,721,532,642","16,109",,"395,989","21,771",,"4,919,446,244",0,0,POINT (0 0)
2018,Shasta,"178,239","76,844","4,472,880,588","36,274",37,"32,020","67,691",37,"157,548,563",40.53502155,-122.5021643,POINT (-122.5021643 40.53502155)
